Titre,Entreprise,Localisation,Salaire,Contrat,Note_entreprise
Responsable Business Intelligence et gestion des données (H/F),Adama,Suresnes,Non spécifié,CDD,4.0
Doctorant en traitement du signal (Machine Learning / Radar) F/H,ECOLE NAVALE,Lanvéoc,€2K(Employer est.),CDD,2.7
Adjoint de la Responsable du pôle programmes nationaux de CNRS Sciences informatiques (H/F),CNRS,Valbonne,€3K - €4K(Employer est.),CDD,3.9
CDD Ingénieur en simulations multiphysiques - Machines tournantes / Piézoélectricité H/F,CEA,Grenoble,Non spécifié,CDD,4.1
Ingénieur de recherche en génie logiciel pour les modèles émergents en IA H/F,CEA,Grenoble,Non spécifié,CDD,4.1
Chercheur (post-doctoral) en mathématiques appliquées (f/h),Université Grenoble Alpes,Saint-Martin-d'Hères,€3K(Employer est.),CDD,4.1
Ingénieur-Chercheur en méthodes formelles et IA pour la cybersécurité logicielle bas niveau H/F,CEA,Palaiseau,Non spécifié,CDD,4.1
Ingénieur-chercheur en Electronique pour la Santé H/F,CEA,Grenoble,Non spécifié,CDD,4.1
Chercheur (post-doctoral) en géophysique dans le cadre du projet DEEPtrigger (f/h),Université Grenoble Alpes,Gières,€3K(Employer est.),CDD,4.1
Ingénieur de recherche administrateur système DevOps & Sécurité H/F,CNRS,Gif-sur-Yvette,€3K - €4K(Employer est.),CDD,3.9
Expert en Intelligence Artificielle et Datascience - F/H,Civils de la Défense,Bruz,Non spécifié,CDD,4.2
Ingénieur en éco-innovation pour le reconditionnement des Systèmes électroniques H/F,CEA,Grenoble,Non spécifié,CDD,4.1
"Ingénierie cognitive : une nouvelle approche transdisciplinaire des attaques dites par ""ingénierie sociale"" : un changement de paradigme en cybercriminalité","École Supérieure d’Ingénieurs Léonard de Vinci ; Paris, la Défense.",Paris,Non spécifié,CDD,Non spécifié
Ingénieur pour reconstituer des images basées sur l'IA pour l'imagerie IRMf SPARKLING à 11.7T H/F,CEA,Gif-sur-Yvette,Non spécifié,CDD,4.1
CDD Ingénieur en électronique mixte analogique/numérique - électroniques basse consommation H/F,CEA,Grenoble,Non spécifié,CDD,4.1
Chercheur (H/F),CNRS,Rennes,Non spécifié,CDD,3.9
Ingénieur-formateur Quantique / HPC Inria Academy (H/F),Inria,Paris,Non spécifié,CDD,4.3
Postdoc en Apprentissage Profond Géométrique (H/F),CNRS,Illkirch-Graffenstaden,€3K(Employer est.),CDD,3.9
Software Engineer (trading) H/F,Constella,Courbevoie,Non spécifié,CDI,Non spécifié
Data Engineer H/F PMSI/T2A,CIMEO,Télétravail,€35K - €50K(Employer est.),CDI,Non spécifié
Application Engineer - Robotics & Autonomous Systems,MathWorks,Meudon,Non spécifié,CDI,4.3
Intern Machine Learning Engineer - Recommender Systems (All Genders),Dailymotion,Paris,Non spécifié,CDI,3.8
Data Scientist / Machine Learning Engineer H/F,AIR FRANCE KLM,Roissy-en-France,Non spécifié,CDI,4.1
Software Engineer (trading) H/F,Constella,Courbevoie,Non spécifié,CDD,Non spécifié
Data Engineer H/F PMSI/T2A,CIMEO,Télétravail,€35K - €50K(Employer est.),CDD,Non spécifié
Application Engineer - Robotics & Autonomous Systems,MathWorks,Meudon,Non spécifié,CDD,4.3
Intern Machine Learning Engineer - Recommender Systems (All Genders),Dailymotion,Paris,Non spécifié,CDD,3.8
Data Scientist / Machine Learning Engineer H/F,AIR FRANCE KLM,Roissy-en-France,Non spécifié,CDD,4.1
CDI - Ingénieur Réseaux Infrastructures Informatiques Embarquées H/F,Naval Group,Ollioules,Non spécifié,CDI,4.1
Regional Sales Manager - Professional Haircare,evo,Télétravail,€80K(Employer est.),CDI,4.0
CMI Junior Manager,Givaudan,Argenteuil,Non spécifié,CDI,3.9
Creative Fragrance Manager,Givaudan,Argenteuil,Non spécifié,CDI,3.9
"Sales Director Nutra, Ingredients Europe",Givaudan,Avignon,Non spécifié,CDI,3.9
CDD RENFORT _ INTERNATIONAL RETAIL OPERATIONS STORE PROJECT MANAGER,Parfums Christian Dior,Neuilly-sur-Seine,Non spécifié,CDI,3.5
Adjoint de la Responsable du pôle programmes nationaux de CNRS Sciences informatiques (H/F),CNRS,Valbonne,€3K - €4K(Employer est.),CDD,3.9
Utilisation LLMs pour la spécification des politiques de partage des données - CDD - Paris-Saclay F/H,CEA,Palaiseau,Non spécifié,CDD,4.1
Regional Sales Manager - Professional Haircare,evo,Télétravail,€80K(Employer est.),CDD,4.0
CMI Junior Manager,Givaudan,Argenteuil,Non spécifié,CDD,3.9
Creative Fragrance Manager,Givaudan,Argenteuil,Non spécifié,CDD,3.9
"Sales Director Nutra, Ingredients Europe",Givaudan,Avignon,Non spécifié,CDD,3.9
CDD RENFORT _ INTERNATIONAL RETAIL OPERATIONS STORE PROJECT MANAGER,Parfums Christian Dior,Neuilly-sur-Seine,Non spécifié,CDD,3.5
Data Scientist / Machine Learning Engineer H/F,AIR FRANCE KLM,Roissy-en-France,Non spécifié,CDD,4.1
STAGIAIRE DATA SCIENTIST F/H - Lutte contre la Fraude Machine Learning & Data Science,Malakoff Humanis,Paris,Non spécifié,CDD,4.2
Data Scientist F/H,Safran,Magny-les-Hameaux,Non spécifié,CDD,3.9
Machine Learning Engineer (100% remote- France),Tether Operations Limited,Paris,Non spécifié,CDD,Non spécifié
Stage - Analyse de données / Machine Learning,Saint Gobain,Aubervilliers,Non spécifié,CDD,4.1
Data Engineer H/F - 2 ans d'expérience,Chouette,Paris,€45K(Employer est.),CDI,Non spécifié
Cloud Sales Engineer F/H/X,amaris,Boulogne-Billancourt,Non spécifié,CDI,3.6
Azure DevOps Engineer,InstaDeep,Paris,Non spécifié,CDI,3.7
Cloud Sustainability Engineer (H/F),CLOUD TEMPLE,Caen,Non spécifié,CDI,4.2
Cybersecurité Engineer,Lùkla,Paris,Non spécifié,CDI,3.5
Data Engineer H/F,ULTRA PREMIUM DIRECT,Bordeaux,Non spécifié,CDI,4.9
Software Engineer (Simulation),InstaDeep,Paris,Non spécifié,CDI,3.7
Pre-Sales Engineer H/F,Abbana,Paris,Non spécifié,CDI,3.8
Data Scientist / Engineer F/H/X,amaris,Levallois-Perret,Non spécifié,CDI,3.6
Senior Software Integration Engineer,PASQAL,Palaiseau,Non spécifié,CDI,4.3
"Lead, Software Engineer",Bain & Company Inc,Paris,Non spécifié,CDI,4.3
Technical Product Owner,Lenstra,Paris,Non spécifié,CDI,5.0
Senior Quantum Experimentalist for Cloud Hardware,Alice & Bob,Paris,Non spécifié,CDI,4.3
Data Scientist,DoubleVerify,Paris,Non spécifié,CDI,4.2
Senior DevOps Engineer,InstaDeep,Paris,Non spécifié,CDI,3.7
Senior Cloud Architect / Devops,Sensewaves,Paris,Non spécifié,CDI,Non spécifié
Développeur back-end - PP061,All Digital Network,Valbonne,Non spécifié,CDI,Non spécifié
Intermediate/Senior Data Engineer - Scientific Engine - CDI,Descartes Underwriting,Paris,Non spécifié,CDI,4.5
Data Architect F/H,Safran,Vélizy-Villacoublay,Non spécifié,CDI,3.9
Senior Software Engineer (Data Engineer),Paris Region Entreprises,Paris,Non spécifié,CDI,3.4
"Data Center Operations Technician, (Entry Level)",Forum Emploi-Formation-Alternance: Talents Handicap,Lacombe,Non spécifié,CDI,4.0
"Critical Environment Technician, DCEO",Forum Emploi-Formation-Alternance: Talents Handicap,France,Non spécifié,CDI,4.0
DataCenter Technician,Forum Emploi-Formation-Alternance: Talents Handicap,France,Non spécifié,CDI,4.0
Data Engineer - Energy & Utilities - Ile-de-France,Forum Emploi-Formation-Alternance: Talents Handicap,Nanterre,Non spécifié,CDI,4.0
Security Program Manager,Forum Emploi-Formation-Alternance: Talents Handicap,France,Non spécifié,CDI,4.0
"Engineering Operations Technician , Data Center Engineering Operations",Forum Emploi-Formation-Alternance: Talents Handicap,France,Non spécifié,CDI,4.0
Data Center Manager,Forum Emploi-Formation-Alternance: Talents Handicap,Lacombe,Non spécifié,CDI,4.0
"Cloud Application Architect, SDT AM3 FR",Forum Emploi-Formation-Alternance: Talents Handicap,France,Non spécifié,CDI,4.0
"Data Center Security Manager, DC Security",Forum Emploi-Formation-Alternance: Talents Handicap,France,Non spécifié,CDI,4.0
Data Center Engineering Operations Technician,Forum Emploi-Formation-Alternance: Talents Handicap,Lacombe,Non spécifié,CDI,4.0
Development & Research Engineer @ Alpes-Grenoble: Deep and Shallow Parallel Data Processing on Supercomputers,Inria,Saint-Martin-d'Hères,Non spécifié,CDD,4.3
Post-Doctoral Research Visit F/M Cooperative Inference Strategies,Inria,Antibes,Non spécifié,CDD,4.3
Architect Cloud,Nyou,Paris,€55K - €65K(Employer est.),CDD,Non spécifié
Architecte cloud,Messilat,Trappes,€46K - €87K(Employer est.),CDD,Non spécifié
Cloud Architect,Sfeir,Paris,Non spécifié,CDD,4.0
ALTERNANCE - Integration Architect H/F - Septembre 2024,Chanel,Neuilly-sur-Seine,Non spécifié,CDD,5.0
Consultant Production Cloud/DevOps (H/F),HCUB3,Paris,€45K(Employer est.),CDD,Non spécifié
Data Scientist F/H,Safran,Magny-les-Hameaux,Non spécifié,CDI,3.9
Stage R&D- Ingénieur Data Science ou Informatique (H/F),Diagnostica Stago,Gennevilliers,Non spécifié,CDI,3.4
Data Scientist H/F,Galois & Co.,Levallois-Perret,€45K - €75K(Employer est.),CDI,Non spécifié
Data Scientist H/F,KPMG,Courbevoie,€47K(Employer est.),CDI,Non spécifié
Stage Data Science H/F PARIS • Stage,Galeries Lafayette,Paris,€1K(Employer est.),CDI,4.0
Téléconseiller Assurance Maladie H/F,CPAM DE LA HAUTE-VIENNE,Limoges,€2K(Employer est.),CDI,3.5
Téléconseiller(e) - Service d'Information Téléphonique Saint-Etienne,CPAM DE LA LOIRE,Saint-Étienne,€2K(Employer est.),CDI,3.5
SAISONNIERS EMPLOYÉ POLYVALENT MAGASIN H/F LE MANS,SMYTHS TOYS FRANCE,La Chapelle-Saint-Aubin,Non spécifié,CDI,3.7
Téléconseiller en assurance H/F,Owliance - Tessi,Reims,€2K(Employer est.),CDI,2.6
Gestionnaire assurance-vie,FAPES Diffusion courtier d’assurance,Paris,€3K(Employer est.),CDI,Non spécifié
Téléconseiller Assurance Maladie H/F,CPAM DE LA HAUTE-VIENNE,Limoges,€2K(Employer est.),CDD,3.5
Téléconseiller(e) - Service d'Information Téléphonique Saint-Etienne,CPAM DE LA LOIRE,Saint-Étienne,€2K(Employer est.),CDD,3.5
SAISONNIERS EMPLOYÉ POLYVALENT MAGASIN H/F LE MANS,SMYTHS TOYS FRANCE,La Chapelle-Saint-Aubin,Non spécifié,CDD,3.7
Téléconseiller en assurance H/F,Owliance - Tessi,Reims,€2K(Employer est.),CDD,2.6
Gestionnaire assurance-vie,FAPES Diffusion courtier d’assurance,Paris,€3K(Employer est.),CDD,Non spécifié
Ingénieur bureau d'études H/F,DELTA BOX,Douai,€34K - €38K(Employer est.),CDI,Non spécifié
Ingénieur chargé d'études H/F,EIFFAGE ENERGIE SYSTEME,Le Mans,€38K - €40K(Employer est.),CDI,3.8
Ingénieur(e) Electricité – Junior,Doris Group,Paris,Non spécifié,CDI,4.0
Ingénieur Robotique H/F,SOLYSTIC,Alixan,€45K - €55K(Employer est.),CDI,3.0
Ingénieur Chargé d'Etudes Photovoltaïques F/H,SEE YOU SUN,Cesson-Sévigné,Non spécifié,CDI,5.0
Ingénieur Développement Backend - Python - F/H,SIMULIA,Villeneuve-d'Ascq,Non spécifié,CDI,4.0
Ingénieur ou Ingénieure Essayeur Dépanneur,SNCF Cadres,Tergnier,€35K - €45K(Employer est.),CDI,3.9
Ingénieur Process & Amélioration Continue F/H,Barry Callebaut,Louviers,Non spécifié,CDI,3.7
Ingénieur Technico-Commercial (Strasbourg)- F/H,MB ELECTRONIQUE,Télétravail,€45K - €75K(Employer est.),CDI,3.2
Ingénieur d’affaires H/F,DV Groupe,Douvrin,Non spécifié,CDI,3.4
Ingénieur vision industrielle (H/F),SparkyFlow,Marseille,€37K - €44K(Employer est.),CDI,Non spécifié
Ingénieur bureau d'études (H/F),SNEF,Berre-l'Étang,Non spécifié,CDI,3.5
Ingénieur éléctricité industrielle H/F,Extia Ingenierie,Lille,Non spécifié,CDI,4.3
Ingénieur génie électrique H/F,New-E,Paris,€32K - €45K(Employer est.),CDI,Non spécifié
Ingénieur d’études – H/F,ITOPP,Thégra,Non spécifié,CDI,3.4
Ingénieur Chargé d’Exploitation IRVE (H/F),TotalEnergies,France,Non spécifié,CDI,4.0
Ingénieur Développement Machine Spéciale Robotique F/H,Framatome,Saint-Paul-lès-Durance,€40K - €50K(Employer est.),CDI,4.0
Ingénieur SCADA,Reisel,Saint-Nazaire,Non spécifié,CDI,4.5
Ingénieur Étude Électrotechnique (H/F),gpi,Belley,Non spécifié,CDI,3.4
Ingénieur Automatisme H/F,Saft,Poitiers,Non spécifié,CDI,3.3
Ingénieur Systemes Embarqués,Manitou Group,Ancenis,Non spécifié,CDI,3.7
Ingénieur développement de convertisseurs F/H,B-HIVE,Strasbourg,Non spécifié,CDI,4.2
Ingénieur(e) Développement Logiciel (H/F),Xenocs,Grenoble,Non spécifié,CDI,4.3
INGÉNIEUR MÉCATRONIQUE H/F,NOVAIR,Roissy-en-France,€44K - €45K(Employer est.),CDI,3.0
Ingénieur-e Automatisme / Mécatronique F/H,Safran,France,Non spécifié,CDI,3.9
Chargé d'études junior en hydraulique urbaine H/F,Nov'Assist,Yutz,€30K - €40K(Employer est.),CDI,Non spécifié
Ingénieur Fiabilité (H/F),Adisseo,Commentry,Non spécifié,CDI,3.8
Ingénieur Chargé d’Affaires (H/F),BC CAIRE,Méry,Non spécifié,CDI,Non spécifié
Ingénieur en conception électrotechnique F/H,Groupe OKWIND,Torcé,Non spécifié,CDI,3.1
Ingénieur Etudes Electricité HTB HTA,IMOGIS,Nanterre,€48K(Employer est.),CDI,3.5
Ingénieur désigneur des éléments d'exposition F/H,Universcience,Paris,€40K - €43K(Employer est.),CDD,3.5
Ingénieur Automatisme - Énergies Renouvelables,Welight Citiz,Grenoble,€36K(Employer est.),CDD,Non spécifié
Ingénieur bureau d’études techniques - électricité industrielle (F/H),Eiffage Énergie Systèmes,Vichy,Non spécifié,CDD,3.7
"CDD- Ingénieur d'études fonctionnelles (mécanique, électrotechnique et fluides) sur drones H/F",Naval Group,Lorient,Non spécifié,CDD,4.1
Ingénieur électronicien,INSA Strasbourg,Strasbourg,€30K - €36K(Employer est.),CDD,3.6
Ingénieur R&D Haute Tension et Matériaux F/H,Axon Cable,Montmirail,€33K(Employer est.),CDD,3.1
Assistant ingénieur en instrumentation pour la physique nucléaire (H/F),CNRS,Caen,€2K - €3K(Employer est.),CDD,3.9
CDD - Ingénieur équipement Lithographie F/H,STMicroelectronics,Crolles,Non spécifié,CDD,4.0
Ingénieure/Ingénieur d'études en instrumentation expérimentation et mesure (H/F),ENPC,Champs-Sur-Marne,Non spécifié,CDD,3.1
INGENIEUR-E METHODES FABRICATION F/H,Safran,Charmeil,Non spécifié,CDD,3.9
Ingénieur Etudes et Industrialisation en électronique (H/F),NSE,Varennes-sur-Allier,Non spécifié,CDD,3.0
Électricien Photovoltaïque (H/F),SNEF,Garons,Non spécifié,CDD,3.5
Ingénieur mise en service (F/H),EIFFAGE ENERGIE SYSTEMES,Le Mans,€31K - €33K(Employer est.),CDD,3.8
Ingénieur Etudes et Industrialisation en électronique (H/F),NSE Groupe,Varennes-sur-Allier,Non spécifié,CDD,3.8
Ingénieur en Automatisme (H/F),CNRS,Caen,€2K - €3K(Employer est.),CDD,3.9
Assistant ingénieur électrotechnicien H/F - Réf. 399,CNRS,Caen,€2K - €3K(Employer est.),CDD,3.9
CDD Ingénieur en simulations multiphysiques - Machines tournantes / Piézoélectricité H/F,CEA,Grenoble,Non spécifié,CDD,4.1
Ingénieur Qualification Nucléaire,TAFINAR,Mulhouse,Non spécifié,CDD,Non spécifié
CDD - Ingénieur Travaux et Maintenance H/F,CEA,Saint-Paul-lès-Durance,Non spécifié,CDD,4.1
"Technicien Électronique, Électrotechnique, Contrôle-commande H/F",INSA ROUEN NORMANDIE,Saint-Étienne-du-Rouvray,€2K(Employer est.),CDD,4.3
TECHNICIEN DE MAINTENANCE (F/H) - SERVICE BIOMEDICAL,Centre Hospitalier de Dreux,Dreux,Non spécifié,CDD,1.0
