Titre de poste ,Sex,Entreprise,Localisation,salaire MIN,salaire MAX,Salaire Moyen,Type de salaire,Salaire Annuel Calculé,Contrat
STAGE - INTELLIGENCE ARTIFICIELLE ET DATA SCIENCE ...,,Equans,Nantes,,,,,,CDI
Stage R&D- Ingénieur Data Science ou Informatique,H/F,Diagnostica Stago,Gennevilliers,,,,,,CDI
STAGE 2025 - Stage en data science LLM (ALL GENDER),,Airbus Defence and Space SAS,Toulouse,,,,,,CDI
Data Science Intern,,AUROBAC THERAPEUTICS,Lyon,,,,,,CDI
Data Scientist,H/F,I-facilities,Plaisir,62000,67000,64500,Annuel,64500,CDD
STAGE - INTELLIGENCE ARTIFICIELLE ET DATA SCIENCE ...,,Equans,Nantes,,,,,,CDD
Stage R&D- Ingénieur Data Science ou Informatique,H/F,Diagnostica Stago,Gennevilliers,,,,,,CDD
STAGE 2025 - Stage en data science LLM (ALL GENDER),,Airbus Defence and Space SAS,Toulouse,,,,,,CDD
Data Science Intern,,AUROBAC THERAPEUTICS,Lyon,,,,,,CDD
Conseiller Services Assurance Maladie,H/F,CPAM DE LA COTE D'OPALE,Calais,2000,,1000,Mensuel,12000,CDI
Téléconseiller en assurance,H/F,Owliance - Tessi,Reims,2000,,1000,Mensuel,12000,CDI
"Agent ou agente de la relation client bord, SVEA Amiens",,SNCF Voyageurs,Amiens,27000,30000,28500,Annuel,28500,CDI
Courtier en assurance,H/F,Ben's finance & Insurance,Paris,1000,4000,2500,Mensuel,30000,CDI
SAISONNIERS EMPLOYÉ POLYVALENT MAGASIN LE MANS,H/F,SMYTHS TOYS FRANCE,La Chapelle-Saint-Aubin,21000,,10500,Annuel,10500,CDI
Conseiller Services Assurance Maladie,H/F,CPAM DE LA COTE D'OPALE,Calais,2000,,1000,Mensuel,12000,CDD
Téléconseiller en assurance,H/F,Owliance - Tessi,Reims,2000,,1000,Mensuel,12000,CDD
"Agent ou agente de la relation client bord, SVEA Amiens",,SNCF Voyageurs,Amiens,27000,30000,28500,Annuel,28500,CDD
Courtier en assurance,H/F,Ben's finance & Insurance,Paris,1000,4000,2500,Mensuel,30000,CDD
SAISONNIERS EMPLOYÉ POLYVALENT MAGASIN LE MANS,H/F,SMYTHS TOYS FRANCE,La Chapelle-Saint-Aubin,21000,,10500,Annuel,10500,CDD
Ingénieur Process & Amélioration Continue,H/F,Barry Callebaut,Louviers,,,,,,CDI
Ingénieur électronique logiciel embarqué,H/F,SparkyFlow,Marseille,37000,44000,40500,Annuel,40500,CDI
Ingénieur vision industrielle,H/F,SparkyFlow,Marseille,37000,44000,40500,Annuel,40500,CDI
Ingénieur ou Ingénieure Essayeur Dépanneur,,SNCF Cadres,Tergnier,35000,45000,40000,Annuel,40000,CDI
Ingénieur généraliste,H/F,SparkyFlow,Marseille,37000,44000,40500,Annuel,40500,CDI
Ingénieur en automatisme,H/F,NOVAXIOM,Lyon,32000,48000,40000,Annuel,40000,CDI
Ingénieur Automaticien,H/F,NGen,Lyon,35000,47000,41000,Annuel,41000,CDI
INGÉNIEURE/INGÉNIEUR AUTOMATICIEN PARIS,,Capgemini Engineering,Paris,,,,,,CDI
Ingénieur Méthodes - Nanterre 92,H/F,VINCI Energies Young Talents Days,Nanterre,,,,,,CDI
Ingénieur Automaticien et Roboticien,H/F,Eiffage Énergie Systèmes,Mondeville,,,,,,CDI
Ingénieur Etudes,H/F,PJE Consulting,Mulhouse,60000,70000,65000,Annuel,65000,CDI
Ingénieur Électrotechnique,H/F,ville-cholet.fr,Cholet,,,,,,CDI
Ingénieure / Ingénieur projet nucléaire,,Capgemini Engineering,Lyon,,,,,,CDI
Ingénieur moyens de test,H/F,Safran,Méru,,,,,,CDI
Ingénieur d'Etudes - Automatismes,H/F,DEDIENNE AEROSPACE,Toulouse,40000,50000,45000,Annuel,45000,CDI
Ingénieur Système Electrotechnique,H/F,CRDL,Étupes,,,,,,CDI
Ingénieur·e développement powertrain,,CIXI,Poisy,,,,,,CDI
Ingénieur(e) automaticien(ne),,Eiffage Énergie Systèmes,Clichy,,,,,,CDI
Ingénieur Électrotechnique,H/F,ville-cholet.fr,Cholet,,,,,,CDI
Ingénieur études électriques,H/F,B-HIVE,Paris,35000,40000,37500,Annuel,37500,CDI
Ingénieur études électriques,H/F,B-HIVE,Le Havre,,,,,,CDI
Ingénieur Automaticien Pharmaceutique - Strasbourg -,H/F,Capgemini Engineering,Strasbourg,,,,,,CDI
Ingénieur en électronique,H/F,Cabinet Alpes Compétences,Chambéry,37000,,18500,Annuel,18500,CDI
Ingénieur bureau d'études,H/F,SNEF,Berre-l'Étang,,,,,,CDI
Ingénieur Maintenance,H/F,NEWSLOT,Peynier,30000,37000,33500,Annuel,33500,CDI
Ingénieure / Ingénieur d’Affaires,,Rubix,Strasbourg,,,,,,CDI
Ingénieur équipements et maintenance,H/F,SparkyFlow,Peynier,40000,42000,41000,Annuel,41000,CDI
Ingénieur métrologue électrique,H/F,PRODIGYUS,Valenciennes,30000,50000,40000,Annuel,40000,CDI
Ingénieur Assurance Qualité Fournisseur,H/F,Mafelec,Chimilin,,,,,,CDI
Ingénieur Conception Schémas Électriques (aéronautique / défense),,LR Technologies,Créteil,38000,44000,41000,Annuel,41000,CDI
Assistant Ingénieur d'Exploitation d'Instrument,H/F,CNRS,Caen,2000,,1000,Mensuel,12000,CDD
Ingénieur.e en automatique / électronique,H/F,SATT Aquitaine,Pau,30000,,15000,Annuel,15000,CDD
Chargé/e de mission émergence innovations deeptech,H/F,SATT Nord,Lille,,,,,,CDD
[UT] Responsable pôle méthodes,H/F,Université fédérale Toulouse Midi-Pyrénées,Toulouse,,,,,,CDD
Superviseur maintenance industrielle - Usine de Dunkerque - CDD,H/F,Coca-Cola Europacific Partners,France,,,,,,CDD
Technicien de Maintenance Biomédicale,H/F,Hospices Civils de Lyon - HCL,Lyon,,,,,,CDD
Technicien Supérieur d'Exploitation d'Instrument réf N°393,H/F,Ganil,Caen,2000,,1000,Mensuel,12000,CDD
Ingénieur génie civil,H/F,Leaf Ingenierie,Boulogne-Billancourt,30000,60000,45000,Annuel,45000,CDI
Ingénieur méthodes Terrassement - Génie Civil - CDI,H/F,Eiffage,Penly,,,,,,CDI
Ingénieur méthodes - Génie Civil Grands Projets - CDI,H/F,Eiffage,Saint-Jean-de-la-Porte,,,,,,CDI
Ingénieur d’Etudes Génie Civil,H/F,Edvance,Montrouge,39000,48000,43500,Annuel,43500,CDI
Ingénieur Génie Civil,,Cleeven Se,Biot,25000,45000,35000,Annuel,35000,CDI
Ingénieure/ Ingénieur chercheur en génie civil,H/F,EDF,Saclay,45000,55000,50000,Annuel,50000,CDI
Ingénieur Génie Civil - Matériaux,H/F,Edvance,Montrouge,43000,50000,46500,Annuel,46500,CDI
Ingénieur études Génie Civil,H/F,ECP - Euro Contrôle Projet,Cherbourg-Octeville,,,,,,CDI
Ingénieur Génie Civil Conception Bâtiment,H/F,Edvance,Montrouge,40000,48000,44000,Annuel,44000,CDI
Ingénieur Génie Civil,H/F,ADSOM,Paris,35000,,17500,Annuel,17500,CDI
Ingénieur travaux - Génie Civil Ligne 15 - CDI,H/F,Eiffage,Saint-Denis,,,,,,CDI
Ingénieure/Ingénieur Génie Civil - LYON,,Capgemini Engineering,Lyon,,,,,,CDI
Ingénieur Calcul Structures Génie Civil,H/F,ADIWATT,Fontaine-Raoul,,,,,,CDI
Ingénieur en génie civil,H/F,EFOR GROUP,Champagne-au-Mont-d'Or,31000,50000,40500,Annuel,40500,CDI
Ingénieur méthodes Génie Civil,H/F,ECP - Euro Contrôle Projet,Cherbourg-Octeville,,,,,,CDI
Ingénieur Génie Civil,H/F,B-HIVE,Marseille,,,,,,CDI
Ingénieur méthodes - Génie Civil - CDI,H/F,Eiffage,Vitrolles,,,,,,CDI
Chargé Développement Durable - Génie Civil - CDI,H/F,Eiffage,Vélizy-Villacoublay,,,,,,CDI
Ingénieur génie civil,H/F,Bee Engineering,Marseille,33000,45000,39000,Annuel,39000,CDI
Chargé d’innovation - Génie Civil - CDI,H/F,Eiffage,Vélizy-Villacoublay,,,,,,CDI
Assistant Bureau d'études Génie Civil,H/F,Mansearch Recrutement,Brie-Comte-Robert,33000,38000,35500,Annuel,35500,CDI
Ingénieur Reporting - Génie Civil Infra Linéaires - CDI,H/F,Eiffage,Penly,,,,,,CDI
Ingénieur(e) travaux génie civil,,UCETIA Consulting,La Garenne-Colombes,34000,45000,39500,Annuel,39500,CDI
Ingénieur Projets Génie Civil - Structure Toulouse ou Paris,,PertinAnce Technologies,Toulouse,52000,65000,58500,Annuel,58500,CDI
Coordinateur études travaux - Génie Civil - CDI,H/F,Eiffage,Neuilly-sur-Marne,,,,,,CDI
Ingénieur Génie Civil - Méthode BIM,H/F,Edvance,Montrouge,40000,50000,45000,Annuel,45000,CDI
Chargé.e d'études génie civil,H/F,Cyclife engineering GROUPE EDF,Lyon,,,,,,CDI
Ingénieur Etudes de prix Génie Civil,H/F,Groupe NGE,Libourne,,,,,,CDI
Responsable achats - Génie civil - CDI,H/F,Eiffage,Penly,,,,,,CDI
Ingénieur(e) Etudes Génie Civil Industriel,H/F,orano,Bagnols-sur-Cèze,,,,,,CDI
Ingénieur / Ingénieure en techniques biologiques,H/F,CNRS,Marseille,2000,3000,2500,Mensuel,30000,CDD
Assistant Ingénieur en techniques biologiques,H/F,CNRS,Gif-sur-Yvette,2000,3000,2500,Mensuel,30000,CDD
Ingénieur en techniques biologiques,,Inserm,Nice,2000,,1000,Mensuel,12000,CDD
Ingénieur / Ingénieure en techniques biologiques du muscle,H/F,CNRS,Marseille,2000,3000,2500,Mensuel,30000,CDD
Ingénieur-e en techniques biologiques,H/F,CNRS,Paris,2000,3000,2500,Mensuel,30000,CDD
Ingénieur / ingénieure en techniques biologies,H/F,CNRS,Nice,2000,3000,2500,Mensuel,30000,CDD
Ingénieur-e en techniques biologiques,,Inserm,Créteil,2000,,1000,Mensuel,12000,CDD
H/F Ingénieur en techniques biologiques,H/F,CNRS,Marseille,3000,4000,3500,Mensuel,42000,CDD
Ingénieur en techniques biologistes,,Université du Littoral Côte d'Opale (ULCO),Boulogne-sur-Mer,3000,,1500,Mensuel,18000,CDD
Ingénieur en techniques biologiques,H/F,Université de Montpellier,Montpellier,2000,,1000,Mensuel,12000,CDD
Assistant Ingénieur en techniques et analyses biologiques,,Inserm,Nice,2000,3000,2500,Mensuel,30000,CDD
Ingénieur-e en techniques biologiques,,INRAE,Lyon,2000,,1000,Mensuel,12000,CDD
Ingénieur.e d'études en techniques biologiques,H/F,Inserm,Montpellier,2000,,1000,Mensuel,12000,CDD
Ingénieur structure métallique,,GROUPE BK,Valence,,,,,,CDD
Ingénieur d'études en techniques biologiques,H/F,CNRS,Valbonne,2000,3000,2500,Mensuel,30000,CDD
Ingénieur structures architecturées 12 mois,H/F,ONERA,Châtillon,40000,55000,47500,Annuel,47500,CDD
Conducteur de travaux,H/F,Descamps-isofis,Saint-Étienne,40000,42000,41000,Annuel,41000,CDD
Ingénieur d'étude en techniques de spectroscopie d’absorption,H/F,CNRS,Saint-Martin-d'Hères,2000,,1000,Mensuel,12000,CDD
Assistant(e) ingénieur(e) en instrumentation et techniques expérimentale,H/F,CNRS,Orléans,2000,3000,2500,Mensuel,30000,CDD
Ingénieur stagiaire - relation structure propriétés résines méthacrylates,H/F,ENSTA bretagne,Brest,,,,,,CDD
Ingénieur·e en techniques expérimentales,H/F,Université de Lille,Tourcoing,3000,,1500,Mensuel,18000,CDD
Conducteur de travaux,H/F,supm,Le Havre,40000,42000,41000,Annuel,41000,CDD
Conducteur de travaux,H/F,Entreprise générale de bâtiment,Courbevoie,25000,35000,30000,Annuel,30000,CDD
Conducteur de travaux,H/F,L'Heudé & Associés,Orléans,,,,,,CDD
Assistante ingénieur en instrumentation et techniques expérimentales,H/F,CNRS,Orsay,2000,3000,2500,Mensuel,30000,CDD
Ingénieur en techniques d'expérimentation animale,H/F,Université Claude Bernard Lyon 1,Lyon,2000,3000,2500,Mensuel,30000,CDD
Conducteur de travaux second oeuvre,H/F,SARL MANFRÉ,Toulouse,2000,3000,2500,Mensuel,30000,CDD
Assistant conducteur travaux,H/F,Orzy Construction,Vedène,24000,27000,25500,Annuel,25500,CDD
Conducteur de travaux (Cierp-Gaud - 31) -,H/F,Office National des Forêts,Cierp-Gaud,32000,,16000,Annuel,16000,CDD
Conducteur de travaux,H/F,MV2 Architectes,Lille,32000,45000,38500,Annuel,38500,CDD
Ingénieur évaluation robotique / IA embarquée,H/F,Laboratoire National de Métrologie et d'Essais (LNE),Trappes,,,,,,CDI
Ingénieur Automatisme-Robotique,H/F,DATATECHNIC,Uxegney,,,,,,CDI
Ingénieur robotique,H/F,SparkyFlow,Taverny,45000,50000,47500,Annuel,47500,CDI
Ingénieur Robotique,H/F,CTS Corporate,Eysines,40000,,20000,Annuel,20000,CDI
Ingénieur d’étude en logiciel embarqué junior,,MICROTEC,Ramonville-Saint-Agne,36000,40000,38000,Annuel,38000,CDI
Ingénieur C++/QT/3D - Robotique/Editeur de logiciel - Paris -,H/F,EP SERVICES,Paris,50000,60000,55000,Annuel,55000,CDI
"Ingénieur Automatisme / Robotique (SIEMENS, TIA Portal, Anglais)-H/F",H/F,Twenty One Talents,Paris,30000,50000,40000,Annuel,40000,CDI
Ingénieur en robotique et automatisme,H/F,WKW France,Valréas,40000,48000,44000,Annuel,44000,CDI
Ingénieur.e de Maintenance en Robotique,,Enchanted Tools,Paris,,,,,,CDI
Ingénieur.e de Maintenance Terrain en Robotique,,Enchanted Tools,Paris,,,,,,CDI
